AMF	Graal	Mock	Manual Inspection	Note
CommandLine_145-153:getOptionObject1	Error	Failure	Failure	
CommandLine_133-135:getOptionObject0	Failure	Success	Success	Graal False Negative - glue code not handling all types
CommandLine_438-440:iterator	Error	Success	Success	
CommandLine_428-430:hasOption2	Success	Success	Success	
CommandLine_418-420:hasOption1	Failure	Failure	Failure	
CommandLine_407-409:hasOption0	Success	Success	Success	
CommandLine_380-382:getParsedOptionValue2	Error	Failure	Failure	
CommandLine_360-369:getParsedOptionValue1	Error	Success	Success	
CommandLine_347-349:getParsedOptionValue0	Success	Success	Success	
CommandLine_334-336:getOptionValues2	Success	Success	Success	
CommandLine_334-336:getOptionValues1	Success	Success	Success	
CommandLine_305-307:getOptionValues0	Success	Success	Success	
CommandLine_295-297:getOptionValue5	Success	Success	Success	
CommandLine_283-285:getOptionValue4	Success	Success	Success	
CommandLine_272-275:getOptionValue3	Success	Success	Success	
CommandLine_255-261:getOptionValue2	Success	Success	Success	
CommandLine_244-246:getOptionValue1	Success	Success	Success	
CommandLine_232-234:getOptionValue0	Success	Success	Success	
CommandLine_218-224:getOptions	Success	Success	Success	
CommandLine_196-211:getOptionProperties1	Failure	Failure	Failure	
CommandLine_167-182:getOptionProperties0	Failure	Failure	Failure	
CommandLine_117-123:getArgs	Success	Success	Success	
CommandLine_108-110:getArgList	Success	Success	Success	
CommandLine_99-101:addOption	Success	Success	Success	
CommandLine_90-92:addArg	Success	Success	Success	
CommandLine_83-83:CommandLine	Success	Failure	Failure	Graal False Positive - `__init__` does not initialize instance field `__commandLine` properly. This doesn't make the test fail, but translation is not functionally equivalent.
CommandLine_448-456:resolveOption	Success	Success	Success	
Builder_68-70:build	Success	Success	Success	
Builder_63-66:addOption	Success	Success	Success	
Builder_52-55:addArg	Success	Success	Success	
GnuParser_49-91:flatten	Failure	Failure	Failure	
PatternOptionBuilder_146-191:parsePattern	Error	Failure	Failure	
PatternOptionBuilder_135-138:isValueCode	Success	Success	Success	
PatternOptionBuilder_104-127:getValueClass	Success	Success	Success	
BasicParser_41-46:flatten	Success	Success	Success	
MissingArgumentException_63-65:getOption	Success	Success	Success	
MissingArgumentException_42-49:MissingArgumentException1	Success	Failure	Failure	Graal False Positive - if `option.getKey()` returns None, string concatenation (using `+`) with `'Missing argument for option: '` will fail (`TypeError: can only concatenate str (not 'NoneType') to str`). Edge cases only covered in Evosuite generated tests, thus missed by Graal (which doesn't support ES Tests)
MissingArgumentException_34-40:MissingArgumentException	Error	Success	Success	
OptionBuilder_296-298:withType1	Not Covered	Failure	Failure	
OptionBuilder_338-342:withValueSeparator1	Success	Success	Success	
OptionBuilder_315-319:withValueSeparator0	Success	Success	Success	
OptionBuilder_279-283:withType0	Success	Success	Success	
OptionBuilder_266-270:withLongOpt	Failure	Success	Success	Graal False Negative - `org.graalvm.polyglot.PolyglotException` raised though the translation is functionally equivalent
OptionBuilder_254-258:withDescription	Failure	Success	Success	Graal False Negative - `org.graalvm.polyglot.PolyglotException` raised though the translation is functionally equivalent
OptionBuilder_242-246:withArgName	Failure	Success	Success	Graal False Negative - `org.graalvm.polyglot.PolyglotException` raised though the translation is functionally equivalent
OptionBuilder_218-222:isRequired1	Not Covered	Success	Success	
OptionBuilder_206-210:isRequired0	Success	Success	Success	
OptionBuilder_194-199:hasOptionalArgs1	Success	Success	Success	
OptionBuilder_181-186:hasOptionalArgs0	Success	Success	Success	
OptionBuilder_169-174:hasOptionalArg	Success	Success	Success	
OptionBuilder_158-162:hasArgs1	Success	Success	Success	
OptionBuilder_146-150:hasArgs0	Success	Success	Success	
OptionBuilder_135-139:hasArg1	Success	Success	Success	
OptionBuilder_123-127:hasArg0	Success	Success	Success	
OptionBuilder_99-116:create2	Success	Success	Success	
OptionBuilder_88-90:create1	Success	Failure	Failure	Graal False Positive - the Java implementation of `create1()` calls `create2()`, while the Python translation explicitly repeated `create2()`'s logic without actually calling `create2()`. Thus the translation does not preserve code structure or the call graph.
OptionBuilder_72-79:create0	Success	Success	Success	
OptionBuilder_345-345:OptionBuilder	Not Covered	Success	Success	
OptionBuilder_225-234:reset	Failure	Success	Success	Graal False Negative - `java.lang.NoClassDefFoundError` raised though the translation is functionally equivalent
ParseException_30-32:ParseException	Failure	Success	Success	Graal False Negative - `java.lang.NullPointerException` raised though the translation is functionally equivalent
Parser_314-317:setOptions	Success	Success	Success	
Parser_276-312:processProperties	Error	Failure	Failure	
Parser_251-268:processOption	Error	Failure	Failure	
Parser_220-241:processArgs	Error	Success	Success	
Parser_140-210:parse3	Error	Failure	Failure	
Parser_120-124:parse2	Success	Success	Success	
Parser_103-107:parse1	Success	Success	Success	
Parser_87-90:parse0	Success	Success	Success	
Parser_74-76:getRequiredOptions	Success	Success	Success	
