AMF	Graal	Mock	Manual Inspection	Note
InvalidFileNameException_50-52:getName	Not Covered	Success	Success	
InvalidFileNameException_40-43:InvalidFileNameException	Not Covered	Success	Success	
DiskFileItem_390-392:setDefaultCharset	Not Covered	Success	Success	
DiskFileItem_380-382:getDefaultCharset	Not Covered	Success	Success	
DiskFileItem_370-372:setHeaders	Not Covered	Success	Success	
DiskFileItem_361-363:getHeaders	Not Covered	Success	Success	
DiskFileItem_319-331:getTempFile	Not Covered	Not Covered	Success	
DiskFileItem_283-285:setFormField	Not Covered	Success	Success	
DiskFileItem_272-274:isFormField	Not Covered	Success	Success	
DiskFileItem_261-263:setFieldName	Not Covered	Success	Success	
DiskFileItem_251-253:getFieldName	Not Covered	Success	Success	
DiskFileItem_178-180:getName	Not Covered	Success	Success	
DiskFileItem_162-167:getCharSet	Not Covered	Success	Success	
DiskFileItem_153-155:getContentType	Not Covered	Success	Success	
DiskFileItem_124-137:DiskFileItem	Not Covered	Failure	Failure	
DiskFileItem_339-348:getUniqueId	Not Covered	Not Covered	Success	
MimeUtility_79-145:decodeText	Success	Success	Success	
MimeUtility_216-226:javaCharset	Success	Success	Success	
MimeUtility_158-208:decodeWord	Failure	Failure	Failure	
MimeUtility_68-68:MimeUtility	Not Covered	Not Covered	Success	
LimitedInputStream_138-141:close	Not Covered	Not Covered	Success	
LimitedInputStream_126-128:isClosed	Not Covered	Not Covered	Success	
LimitedInputStream_110-117:read1	Not Covered	Not Covered	Failure	
LimitedInputStream_83-90:read0	Not Covered	Not Covered	Failure	
LimitedInputStream_45-48:LimitedInputStream	Not Covered	Not Covered	Failure	
LimitedInputStream_64-68:checkLimit	Not Covered	Not Covered	Success	
LimitedInputStream_57-57:raiseError	Not Covered	Not Covered	Failure	
MultipartStream_302-304:MultipartStream3	Not Covered	Success	Success	
MultipartStream_233-236:MultipartStream1	Not Covered	Success	Success	
MultipartStream_216-218:MultipartStream0	Not Covered	Success	Success	
MultipartStream_567-583:findSeparator	Not Covered	Success	Success	
MultipartStream_550-558:findByte	Not Covered	Failure	Failure	
MultipartStream_532-539:arrayequals	Not Covered	Success	Success	
MultipartStream_440-480:readHeaders	Not Covered	Success	Success	
MultipartStream_398-404:setBoundary	Not Covered	Success	Success	
MultipartStream_356-381:readBoundary	Not Covered	Success	Success	
MultipartStream_332-344:readByte	Not Covered	Failure	Failure	
MultipartStream_322-324:setHeaderEncoding	Not Covered	Success	Success	
MultipartStream_312-314:getHeaderEncoding	Not Covered	Success	Success	
MultipartStream_289-292:MultipartStream2	Success	Success	Success	
MultipartStream_252-279:MultipartStream	Error	Success	Success	
MultipartStream_407-426:computeBoundaryTable	Success	Success	Success	
MultipartStream_502-504:newInputStream	Not Covered	Success	Success	
ItemInputStream_841-843:isClosed	Error	Not Covered	Success	
ItemInputStream_782-796:skip	Error	Failure	Failure	
ItemInputStream_688-690:read	Error	Failure	Failure	
ItemInputStream_671-676:available	Error	Failure	Failure	
ItemInputStream_752-772:close1	Error	Failure	Failure	
ItemInputStream_742-744:close0	Error	Failure	Failure	
ItemInputStream_716-735:read1	Error	Success	Success	
ItemInputStream_692-705:read0	Error	Failure	Failure	
ItemInputStream_660-662:getBytesRead	Error	Success	Success	
