TARGET_CLASS,criterion,Coverage,Total_Goals,Covered_Goals
org.apache.commons.graph.VertexPair,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.8819444444444444,109,104
org.apache.commons.graph.export.AbstractExporter,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.7467532467532467,126,109
org.apache.commons.graph.export.DotExporter,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.8717105263157895,218,206
org.apache.commons.graph.export.DefaultExportSelector,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.875,29,25
org.apache.commons.graph.export.GraphExportException,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.9583333333333333,9,8
org.apache.commons.graph.visit.DefaultVisitAlgorithmsSelector,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.6517636037797327,227,127
org.apache.commons.graph.visit.VisitGraphBuilder,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.859172077922078,53,45
org.apache.commons.graph.visit.DefaultVisitSourceSelector,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.875,28,24
org.apache.commons.graph.visit.BaseGraphVisitHandler,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.9375,50,45
org.apache.commons.graph.weight.primitive.FloatWeightBaseOperations,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.925,65,60
org.apache.commons.graph.weight.primitive.LongWeightBaseOperations,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.9041666666666667,66,60
org.apache.commons.graph.weight.primitive.BigDecimalWeightBaseOperations,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.90625,69,61
org.apache.commons.graph.weight.primitive.BigIntegerWeightBaseOperations,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.91875,70,61
org.apache.commons.graph.weight.primitive.IntegerWeightBaseOperations,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.9041666666666667,65,59
org.apache.commons.graph.weight.primitive.DoubleWeightBaseOperations,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.925,65,60
org.apache.commons.graph.coloring.ColoredVertices,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.8917857142857143,78,73
org.apache.commons.graph.coloring.UncoloredOrderedVertices,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.8827457264957265,95,87
org.apache.commons.graph.coloring.DefaultColorsBuilder,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.875,19,17
org.apache.commons.graph.coloring.DefaultColoringAlgorithmsSelector,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.8434895833333333,285,256
org.apache.commons.graph.coloring.NotEnoughColorsException,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.9166666666666666,7,4
org.apache.commons.graph.elo.DefaultKFactorBuilder,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.9163290689410093,209,203
org.apache.commons.graph.elo.DefaultRankingSelector,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.875,20,18
org.apache.commons.graph.builder.DefaultTailVertexConnector,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.9375,26,23
org.apache.commons.graph.builder.AbstractGraphConnection,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.0,42,0
org.apache.commons.graph.builder.DefaultLinkedConnectionBuilder,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.8839285714285714,27,23
org.apache.commons.graph.builder.DefaultHeadVertexConnector,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.875,20,18
org.apache.commons.graph.builder.DefaultGrapher,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.84375,36,29
org.apache.commons.graph.CommonsGraph,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.8606090100111234,199,150
org.apache.commons.graph.connectivity.ConnectedComponentHandler,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.871875,33,26
org.apache.commons.graph.connectivity.DefaultConnectivityBuilder,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.875,29,25
org.apache.commons.graph.connectivity.DefaultConnectivityAlgorithmsSelector,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.8802083333333334,48,44
org.apache.commons.graph.SynchronizedUndirectedGraph,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,1.0,6,6
org.apache.commons.graph.SynchronizedMutableGraph,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,1.0,52,52
org.apache.commons.graph.SynchronizedDirectedGraph,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.9464285714285714,56,53
org.apache.commons.graph.spanning.DefaultSpanningTreeSourceSelector,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.8653846153846154,129,115
org.apache.commons.graph.spanning.DefaultSpanningWeightedEdgeMapperBuilder,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.875,20,18
org.apache.commons.graph.spanning.DefaultSpanningTreeAlgorithmSelector,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.7096531687745351,273,179
org.apache.commons.graph.spanning.ReverseDeleteGraph,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.8145190717920897,226,186
org.apache.commons.graph.spanning.WeightedEdgesComparator,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.9375,20,19
