TARGET_CLASS,criterion,Coverage,Total_Goals,Covered_Goals
me.lemire.integercompression.S9,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.8942099567099567,749,731
me.lemire.integercompression.DeltaZigzagVariableByte,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.7890969613384325,622,565
me.lemire.integercompression.JustCopy,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.8541666666666666,107,97
me.lemire.integercompression.BinaryPacking,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.7366531810249087,893,402
me.lemire.integercompression.FastPFOR128,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.8070229048677324,876,814
me.lemire.integercompression.Kamikaze,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.8261146644419726,208,177
me.lemire.integercompression.FastPFOR,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.7931940421841679,860,789
me.lemire.integercompression.NewPFDS16,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.7282027886060791,1174,811
me.lemire.integercompression.SkippableComposition,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.8592862935928629,200,188
me.lemire.integercompression.Composition,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.8608922101449276,181,170
me.lemire.integercompression.OptPFDS16,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.831499644633973,684,637
me.lemire.integercompression.NewPFD,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.7025622951558859,643,464
me.lemire.integercompression.DeltaZigzagEncoding,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.7661967418546366,359,357
me.lemire.integercompression.benchmarktools.BenchmarkOffsettedSeries,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.8392187708571133,1149,955
me.lemire.integercompression.benchmarktools.Benchmark,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.525024884185266,1050,406
me.lemire.integercompression.benchmarktools.PerformanceLogger,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.9166666666666666,169,169
me.lemire.integercompression.benchmarktools.BenchmarkBitPacking,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.5731476348854397,388,190
me.lemire.integercompression.benchmarktools.BenchmarkSkippable,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.46315582979000036,878,186
me.lemire.integercompression.NewPFDS9,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.6886009834645469,1177,717
me.lemire.integercompression.Simple9,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.8525976290097629,1162,1136
me.lemire.integercompression.OptPFD,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.8208324449182658,686,621
me.lemire.integercompression.Simple16,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.8486700521636346,1034,938
me.lemire.integercompression.BitPacking,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.6053089179052061,6861,2148
me.lemire.integercompression.UncompressibleInputException,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,1.0,6,6
me.lemire.integercompression.S16,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.8702440675266763,1152,1060
me.lemire.integercompression.synth.UniformDataGenerator,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.8939393939393939,484,459
me.lemire.integercompression.synth.ClusteredDataGenerator,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.8017390311756711,540,506
me.lemire.integercompression.VariableByte,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.8046812257442179,953,884
me.lemire.integercompression.IntCompressor,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.8772954019664546,105,93
me.lemire.integercompression.DeltaZigzagBinaryPacking,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.7679440145409834,603,428
me.lemire.integercompression.Util,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.9150737090731389,1155,1121
me.lemire.integercompression.IntWrapper,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.946875,143,126
me.lemire.integercompression.OptPFDS9,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.8208324449182658,688,623
me.lemire.integercompression.differential.IntegratedIntCompressor,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.8894230769230769,110,101
me.lemire.integercompression.differential.Delta,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.9404403116730373,841,827
me.lemire.integercompression.differential.IntegratedBinaryPacking,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.7806805827296363,864,632
me.lemire.integercompression.differential.SkippableIntegratedComposition,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.8575539044289044,246,236
me.lemire.integercompression.differential.IntegratedBitPacking,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.6846794565189566,3774,1714
me.lemire.integercompression.differential.IntegratedVariableByte,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.8069147267334682,1122,1050
me.lemire.integercompression.differential.XorBinaryPacking,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.7656470692090396,1061,808
me.lemire.integercompression.differential.IntegratedComposition,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.862008281573499,179,170
me.lemire.longcompression.LongComposition,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.8630952380952381,187,174
me.lemire.longcompression.LongUtil,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.9166666666666666,27,25
me.lemire.longcompression.SkippableLongComposition,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.8565217391304347,198,186
me.lemire.longcompression.LongVariableByte,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.7946506106136116,1454,1362
me.lemire.longcompression.RoaringIntPacking,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.9369047619047619,149,137
me.lemire.longcompression.LongJustCopy,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.8541666666666666,107,97
me.lemire.longcompression.LongAs2IntsCodec,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.8680383183369531,484,471
me.lemire.longcompression.differential.LongDelta,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.9371050552922591,755,745
com.kamikaze.pfordelta.Simple16WithHardCodes,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.8943452380952381,1333,1291
com.kamikaze.pfordelta.PForDeltaUnpack128WIthIntBuffer,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.9252016129032258,1603,1531
com.kamikaze.pfordelta.PForDeltaUnpack128,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.9347189695550351,1835,1813
com.kamikaze.pfordelta.PForDelta,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.9102030131591285,1154,1118
com.kamikaze.pfordelta.Simple16,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.9355842911877394,597,586
com.kamikaze.pfordelta.LCPForDelta,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.9169629255940016,1194,1133
