TARGET_CLASS,criterion,Coverage,Total_Goals,Covered_Goals
org.apache.commons.pool2.BasePooledObjectFactory,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.0,93,0
org.apache.commons.pool2.proxy.BaseProxyHandler,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.8611111111111112,73,65
org.apache.commons.pool2.proxy.JdkProxySource,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.8660714285714286,53,44
org.apache.commons.pool2.proxy.ProxiedKeyedObjectPool,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.8492881643972725,138,110
org.apache.commons.pool2.proxy.JdkProxyHandler,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.75,17,12
org.apache.commons.pool2.proxy.ProxiedObjectPool,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.879028379028379,105,89
org.apache.commons.pool2.proxy.CglibProxySource,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.9166666666666666,21,19
org.apache.commons.pool2.impl.DefaultPooledObjectInfo,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.884469696969697,128,104
org.apache.commons.pool2.impl.SecurityManagerCallStack,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.8257575757575758,21,11
org.apache.commons.pool2.impl.LinkedBlockingDeque,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.6657641744300502,1394,931
org.apache.commons.pool2.impl.BaseGenericObjectPool,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.16993854654752824,1180,90
org.apache.commons.pool2.impl.DefaultPooledObject,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.8742138828775657,311,285
org.apache.commons.pool2.impl.PooledSoftReference,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.90625,49,45
org.apache.commons.pool2.impl.NoOpCallStack,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.90625,22,20
org.apache.commons.pool2.impl.DefaultEvictionPolicy,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.9375,40,39
org.apache.commons.pool2.impl.GenericKeyedObjectPoolConfig,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.9263257575757575,234,229
org.apache.commons.pool2.impl.AbandonedConfig,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.9254032258064516,218,214
org.apache.commons.pool2.impl.BaseObjectPoolConfig,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.9156746031746031,912,900
org.apache.commons.pool2.impl.ThrowableCallStack,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.95,60,58
org.apache.commons.pool2.impl.GenericObjectPoolConfig,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.9237938596491229,177,172
org.apache.commons.pool2.impl.InterruptibleReentrantLock,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.95,17,15
org.apache.commons.pool2.impl.PoolImplUtils,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.6136374331925825,323,172
org.apache.commons.pool2.impl.EvictionConfig,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.890625,128,117
org.apache.commons.pool2.impl.EvictionTimer,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.32258986928104577,128,35
org.apache.commons.pool2.impl.CallStackUtils,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.0,1,0
org.apache.commons.pool2.BaseObjectPool,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.0,78,0
org.apache.commons.pool2.BaseKeyedPooledObjectFactory,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.0,93,0
org.apache.commons.pool2.BaseObject,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.6302083333333333,25,18
